Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	LossPi	LossV	KL	Jc	JcNew	Time
62	82.0	0.0	0.68333334	-7.1298647	37.04732	19.782957	-298.72928	2.45	1.0777291	4.6	0.0	33.266666	-1.6763806e-08	66.779106	0.0	0.07350001	0.07350001	17746.276655197144
63	117.0	0.0	0.65	-2.3952296	22.095158	23.193178	-273.88553	2.2172225	1.0233296	4.1	0.0	22.01111	-3.7252903e-09	85.52542	0.0	0.1001	0.1001	18027.338698625565
64	88.0	0.0	0.7096774	-6.051894	36.17505	21.599142	-286.06165	2.5008066	1.0579573	4.9	0.0	32.201614	-9.313226e-09	62.12368	0.0	0.077525005	0.077525005	18313.43306517601
65	135.0	0.0	0.7417582	-3.8856144	23.430338	19.740448	-298.41113	2.491209	1.0985652	5.1	0.0	21.846153	-1.4901161e-08	83.84636	0.0	0.1136	0.1136	18596.373756170273
66	74.0	0.0	0.6981132	-7.8139176	38.769897	18.059614	-289.56384	2.4509432	1.0691422	4.8	0.0	34.820755	-1.8626451e-09	63.18686	0.0	0.066250004	0.066250004	18883.709542274475
67	178.0	0.0	0.712	-1.7387195	7.9881153	20.75472	-17.527039	2.35	1.0714943	5.1	0.0	15.976	-3.7252903e-09	104.4628	0.0	0.146875	0.146875	19154.998373508453
68	84.0	0.0	0.7304348	-7.2885666	37.15114	21.442154	-281.38382	2.473913	1.0052979	4.8	0.0	33.608696	9.313226e-08	419.28894	0.0	0.07162501	0.07162501	19441.18972182274
69	151.0	0.0	0.72596157	-1.4356828	8.613412	22.222713	-13.874679	2.4350963	1.0114579	4.8	0.0	16.485577	-2.2351742e-08	83.893814	0.0	0.1274	0.1274	19716.50678420067
70	120.0	0.0	0.6593407	-2.5137622	23.076527	22.436953	-290.68274	2.274176	1.087412	5.1	0.0	21.923077	7.450581e-09	102.32528	0.0	0.1036	0.1036	19996.69618678093
71	165.0	0.0	0.6991525	-1.5317407	8.655599	21.627945	-17.489515	2.4122884	1.0575281	4.9	0.0	16.915255	-2.1071173e-08	94.281235	0.0	0.14232498	0.14232498	20271.06338572502
72	118.0	0.0	0.69822484	-3.501545	23.043697	22.680096	-280.80948	2.3798816	1.0800273	4.8	0.0	22.455622	0.0	231.94968	0.0	0.100925006	0.100925006	20558.775084495544
73	176.0	0.0	0.72727275	-1.8681272	8.430252	23.53297	-16.633772	2.4140496	1.1144288	5.8	0.0	16.5	-7.450581e-09	73.56928	0.0	0.14604999	0.14604999	20832.003464460373
74	143.0	0.0	0.7526316	-2.331406	8.363217	19.340223	-24.629988	2.5926313	1.069111	4.9	0.0	16.826315	3.7252903e-09	168.38196	0.0	0.12465	0.12465	21112.185453414917
75	156.0	0.0	0.6995516	-1.7038735	8.221438	19.73467	-15.691069	2.3901348	1.0645916	5.3	0.0	16.309418	-1.8626451e-08	75.93289	0.0	0.133625	0.133625	21386.100184202194
76	169.0	0.0	0.71308017	-1.3291895	8.202331	20.747313	-15.376218	2.467089	1.065499	5.3	0.0	16.70886	-2.2351742e-08	63.073883	0.0	0.14642501	0.14642501	21658.338364124298
77	82.0	0.0	0.6666667	-6.089168	38.700737	22.579634	-310.89685	2.3601627	1.1918243	5.9	0.0	32.487804	1.8626451e-08	427.5921	0.0	0.072574995	0.072574995	21943.654949903488
78	167.0	0.0	0.70464134	-1.5298655	8.118336	22.005085	-13.347024	2.4818566	1.0239166	4.9	0.0	16.8481	-2.7939677e-08	105.20949	0.0	0.14705	0.14705	22215.59292435646
79	142.0	0.0	0.6173913	0.014526732	8.132855	23.706776	-14.137514	2.23	1.0959272	4.6	0.0	17.282608	-3.3527613e-08	41.46355	0.0	0.128625	0.128625	22487.893352270126
80	77.0	0.0	0.6936937	-4.2035336	26.612593	20.503489	-270.81973	2.356757	1.0744051	5.0	0.0	25.387388	-2.9802322e-08	489.86017	0.0	0.06765	0.06765	22779.48180437088
81	94.0	0.0	0.6911765	-3.5420206	27.985937	20.622004	-313.90802	2.3397057	0.9712999	4.8	0.0	23.845589	-3.7252903e-09	88.611626	0.0	0.0803	0.0803	23064.599966049194
82	134.0	0.0	0.72432435	-3.161114	22.247585	21.806784	-285.6833	2.392973	1.0693793	5.4	0.0	21.567568	-2.2351742e-08	84.12831	0.0	0.110675	0.110675	23346.75531888008
83	189.0	0.0	0.75	-2.6771119	8.050669	19.221434	-14.163474	2.4357145	1.0247698	5.5	0.0	15.797619	-2.0489097e-08	83.4561	0.0	0.1537	0.1537	23618.458112478256
84	83.0	0.0	0.697479	-6.2581224	39.20415	19.489695	-302.99625	2.47563	1.0537621	5.1	0.0	33.462185	3.9115548e-08	354.2176	0.0	0.0739	0.0739	23904.300491809845
85	159.0	0.0	0.70666665	-0.7096079	8.195785	23.192919	-18.47632	2.3888888	1.0765835	5.9	0.0	16.826666	-2.910383e-08	95.470795	0.0	0.135125	0.135125	24181.475962877274
86	166.0	0.0	0.7248908	-1.5154643	8.15613	20.802	-15.566867	2.424891	1.0168195	4.6	0.0	17.148472	3.7252903e-09	62.41017	0.0	0.1397	0.1397	24458.985084056854
87	100.0	0.0	0.7407407	-5.0129786	26.307285	18.808653	-295.06693	2.5118518	1.0429341	4.8	0.0	23.814816	0.0	295.27466	0.0	0.08565	0.08565	24751.58037877083
88	127.0	0.0	0.71348315	-2.6200562	23.458105	19.815908	-292.06476	2.4292135	0.99777305	4.6	0.0	22.376404	0.0	82.45578	0.0	0.108225	0.108225	25033.73242330551
