Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossCV	DeltaLossPi	DeltaLossV	DeltaLossCV	Entropy	KL	ClipFrac	StopIter	Time
54	52.0	0.0	0.26943004	12.660371	10.000932	29.85619	-10.562596	2.4884858	1.1156509	5.3473296	0.8679596	20.642487	10.734012	1.4888175	14.558231	-1.1649231	220000	-2.9802322e-08	38.77426	0.62067413	-0.018891752	-2.138586	-0.03600113	0.32722586	0.014500679	0.163	16.0	25836.236591100693
55	85.0	0.0	0.3935185	11.021855	11.128252	30.905752	-11.24142	2.5849733	1.2088022	5.3878217	0.5608122	18.444445	11.2809725	1.5913379	15.373303	-1.5942519	224000	1.4901161e-08	50.752735	0.7958139	-0.10006891	-3.352806	-0.012076974	0.27236605	0.013920802	0.151	18.0	26258.36479640007
56	79.0	0.0	0.37980768	11.264939	10.705236	30.195734	-9.892681	2.548728	1.2042229	6.8945484	0.66762304	19.052885	10.661305	2.403575	15.741739	-6.4860234	228000	2.7939677e-08	46.141422	0.7978817	-0.09184815	-1.5025539	-0.025455147	0.31884262	0.018130656	0.1875	5.0	26698.936457157135
57	48.0	0.0	0.2580645	12.23134	9.299878	30.758734	-9.530695	2.3611088	1.023344	4.8270655	0.56081563	21.483871	10.934349	2.1835027	16.231934	-6.826368	232000	3.3527613e-08	38.61027	0.53975815	-0.052475408	-3.6301441	-0.01966247	0.35469854	0.01299119	0.1865	5.0	27153.542880296707
58	54.0	0.0	0.30337077	9.244367	10.000311	28.620459	-12.094634	2.6930845	1.0244234	5.068513	0.9088159	22.27528	10.537641	2.4980707	16.114237	-2.273988	236000	1.15484e-07	41.13224	0.594484	-0.043085158	-3.20891	-0.048769534	0.412583	0.014910713	0.18024999	6.0	27650.544524669647
59	50.0	0.0	0.29239765	8.966952	9.776774	28.621397	-10.7277155	2.8051112	0.9947651	6.5152555	0.66920125	23.292398	9.162186	2.4306386	14.255856	-2.9366617	240000	5.9604645e-08	38.498245	0.53046626	-0.02285932	-1.8794937	-0.027522922	0.46900496	0.015048292	0.1885	7.0	28168.37536931038
60	47.0	0.0	0.28313252	8.540308	10.228764	27.592487	-10.940831	2.8162513	1.0704435	5.5491843	0.5609653	23.861446	9.200648	2.9496684	14.656955	-0.02410521	244000	0.0	39.67079	0.5258055	-0.06450042	-1.5846815	-0.023681417	0.5083629	0.015668817	0.18675	18.0	28699.876328468323
61	44.0	0.0	0.25882354	9.4463625	10.081532	30.418114	-11.452503	2.620231	1.0409541	4.846559	0.9091638	23.452942	9.041176	3.1070428	14.940981	2.8846776	248000	-2.9802322e-08	35.171066	0.5174039	-0.0647143	-0.6541786	-0.021816656	0.46054804	0.017907208	0.171	6.0	29213.06708741188
62	48.0	0.0	0.27118644	10.543865	9.877626	28.833977	-11.151128	2.5549297	1.0475368	4.6172795	0.9101408	22.531073	9.460088	3.130525	14.461338	2.7993855	252000	-4.4703484e-08	40.81832	0.5703653	-0.045372978	-3.870863	-0.027364492	0.413754	0.013696958	0.13475001	5.0	29706.260880231857
63	46.0	0.0	0.25698325	11.942923	9.540157	30.152237	-9.718577	2.523409	1.0307076	5.076575	0.6662599	22.139666	10.033563	1.9093066	13.933169	0.62805426	256000	0.0	35.848736	0.53452146	-0.08653799	-1.5672779	-0.008011505	0.37758762	0.017304348	0.21675	8.0	30171.477016210556
64	69.0	0.0	0.34673366	12.422043	9.889533	29.195759	-7.477654	2.5200355	1.1200228	5.0529404	0.6673787	19.899498	10.90415	1.7993604	14.913498	0.953075	260000	-5.9604645e-08	40.265724	0.664693	-0.01913185	-2.7551384	-0.028154314	0.3150233	0.0125442725	0.11575	5.0	30606.64910888672
65	82.0	0.0	0.38317758	11.517743	11.057919	32.540543	-9.15101	2.5559647	1.1745917	5.3482456	0.667587	18.649532	10.815525	1.9121653	15.130805	-1.2667027	264000	-1.4901161e-08	50.234432	0.772348	-0.017944574	-1.9117317	-0.013340831	0.2962309	0.012411033	0.14525	19.0	31032.106101989746
