Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
40	2.7709787	0.0	49.0	0.0	0.25520834	17.055351	9.653437	30.542667	-4.9947786	2.2563934	0.9819805	5.1245165	0.9084644	20.619791	13.02792	5.498443	21.559155	-5.958106	164000	1.1175871e-08	17.275957	0.24112469	-0.0077636107	-3.3442197	-0.044339657	0.418576	0.0059594135	0.1055	79.0	7826.50198340416
41	2.809883	0.0	39.0	0.0	0.20634921	18.372013	8.868057	29.804976	-3.3039412	2.1329927	0.9593208	4.8840785	0.9256047	20.89418	13.595506	5.26619	21.80943	-6.0534625	168000	-7.450581e-09	19.005428	0.23802501	-0.0068180533	-4.633053	-0.02959634	0.39237043	0.009244785	0.041	79.0	8016.730838775635
42	2.848907	0.0	37.0	0.0	0.2	17.940298	8.820295	29.49855	-4.533482	2.2282166	1.0069139	5.304781	0.6671264	21.335135	13.896037	4.9715343	24.034513	-6.4174123	172000	7.450581e-09	16.933638	0.24111843	-0.0073414426	-4.5823936	-0.05213135	0.38342795	0.0045809145	0.09075	79.0	8200.08397436142
43	2.8879318	0.0	38.0	0.0	0.20212767	17.981842	8.682902	27.80103	-2.2141416	2.1527586	0.9455248	4.8378224	0.6677892	21.095745	13.516887	5.0660405	22.355669	-5.4883265	176000	1.1175871e-08	15.823199	0.2034297	-0.007444553	-3.9897678	-0.03474115	0.3920364	0.0066602863	0.04625	79.0	8388.069986104965
44	2.9271207	0.0	40.0	0.0	0.21390374	17.873936	9.090497	30.82639	-1.796326	2.247381	0.98398596	5.2017965	0.90703875	21.074867	12.91482	5.2444754	21.463509	-8.251236	180000	9.313226e-09	19.611773	0.25339282	-0.0077906046	-5.940663	-0.057592653	0.41257292	0.012068092	0.0475	43.0	8576.1305706501
45	2.9664798	0.0	39.0	0.0	0.20634921	17.846962	9.001601	29.7838	-4.1949387	2.253945	0.91422194	4.9168277	0.9267899	20.957672	13.929367	4.9534707	22.364084	-5.4121375	184000	-7.450581e-09	15.139686	0.16922858	-0.0066098073	-3.3551016	-0.02169986	0.416106	0.00543934	0.048	79.0	8765.068699359894
46	3.0059233	0.0	38.0	0.0	0.2054054	18.038578	8.963553	29.139555	-3.7009237	2.2035253	0.94958204	4.845367	0.83817005	21.35135	13.593442	4.9958315	22.111794	-7.2066345	188000	0.0	15.616512	0.18260485	-0.009549564	-4.2167435	-0.031979404	0.40010533	0.012137642	0.04575	70.0	8953.251801013947
47	3.0453045	0.0	40.0	0.0	0.21052632	17.728636	8.982941	30.065031	-3.8480074	2.1110811	0.9247578	4.7450876	0.66776335	20.984211	13.741101	5.3045273	23.12447	-6.4541984	192000	-1.8626451e-09	16.675766	0.18497822	-0.0077204956	-4.342907	-0.027019551	0.37783557	0.0054638186	0.083000004	79.0	9138.87897658348
48	3.084873	0.0	41.0	0.0	0.21693122	17.719908	9.015859	28.842169	-2.8099568	2.2529483	0.9843443	4.648818	0.91044235	20.968254	13.317849	5.22805	23.89873	-6.6496015	196000	7.916242e-09	20.945599	0.21774864	-0.007828025	-4.7249465	-0.03236873	0.3836841	0.006062825	0.045500003	79.0	9324.137557268143
49	3.1245532	0.0	41.0	0.0	0.21925133	17.590857	9.361063	30.554111	-5.282741	2.2113454	0.9164637	4.517777	0.9024463	20.994652	13.409576	5.236023	23.153374	-4.7247844	200000	4.1909516e-09	16.997509	0.1709032	-0.008154494	-5.0797844	-0.041902788	0.3695988	0.006385334	0.08575	79.0	9515.578195810318
