Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
67	37.0	0.0	0.19473684	18.228699	9.177714	30.051506	-4.0599713	2.1566746	0.8837982	4.5882444	0.9116952	21.031578	13.884687	4.0053277	20.883396	0.98345566	272000	7.450581e-09	24.874277	-0.006070585	-1.3165674	0.31268933	0.0016042748	0.038	79.0	16995.07766532898
68	36.0	0.0	0.1904762	17.248007	9.140632	29.755346	-6.271352	2.2176778	0.92641574	4.9670367	0.91127396	21.026455	13.898375	4.209156	21.7941	3.171047	276000	-1.8626451e-09	26.03204	-0.0050784033	-1.1162853	0.278829	0.0043019084	0.07175	79.0	17234.148250102997
69	43.0	0.0	0.2263158	17.548649	9.340227	29.65839	-4.6841555	2.2369447	0.99969757	5.368871	0.9235549	20.989473	13.313807	3.8040526	20.517874	-0.7096991	280000	3.7252903e-09	26.731339	-0.0049061757	-1.016118	0.2821321	0.0012962414	0.02125	79.0	17475.940860271454
70	45.0	0.0	0.23195876	17.00906	9.516486	30.010067	-5.5675263	2.2220654	0.908004	4.672073	0.9103863	20.453608	13.385073	3.9645023	20.612347	3.1541033	284000	3.7252903e-09	30.7523	-0.0061014257	-1.5358038	0.28372908	0.008186309	0.038000003	79.0	17715.345466136932
71	33.0	0.0	0.17460318	18.330154	8.474546	30.637403	-2.1872475	2.1291385	0.89944357	4.9674754	0.9115601	21.126984	13.503629	3.7481422	19.926767	3.6582403	288000	7.450581e-09	22.080631	-0.0053084586	-0.9943352	0.27608204	0.003943583	0.0285	79.0	17956.88418841362
72	38.0	0.0	0.21839081	17.640043	9.286928	29.79893	-5.9138803	2.1846516	0.98641413	6.2835236	0.9274236	20.465517	13.29436	3.8555226	20.448303	-16.417488	292000	-3.7252903e-09	34.195328	-0.0039087366	-4.6325893	0.31255674	0.0025104256	0.01575	79.0	18216.59189248085
73	33.0	0.0	0.17837837	18.499258	9.039225	31.370192	-6.89909	2.1762052	0.9134532	5.0941706	0.9153453	21.448648	12.805649	4.4693537	20.259697	3.8549092	296000	1.8626451e-09	24.042797	-0.004057441	-3.9821796	0.27395046	0.0042701783	0.015999999	79.0	18457.559967041016
74	37.0	0.0	0.1957672	18.200287	8.7599125	30.599438	-2.9584906	2.2264116	0.99422705	4.832821	0.91000766	21.0582	13.979656	4.077114	21.282928	3.3468506	300000	-9.313226e-10	24.625717	-0.0061352034	-0.8443556	0.2678942	0.0038202712	0.07925	79.0	18695.802701711655
75	37.0	0.0	0.19680852	18.530119	9.095845	32.45938	-2.1226382	2.1626706	0.9391205	5.6362257	0.92243135	21.117022	13.805911	4.127003	21.3241	3.3686924	304000	7.450581e-09	22.1953	-0.004581377	-0.6641216	0.24781302	0.0064856037	0.02625	79.0	18934.438396453857
76	28.0	0.0	0.14973262	18.9943	8.329271	31.18907	-4.3838973	2.043795	0.8387979	3.995342	0.6677445	21.272728	14.408988	4.1908107	21.258686	3.2214253	308000	9.313226e-10	23.088009	-0.0056528766	-1.0906372	0.23086953	0.004569791	0.030749999	79.0	19171.25097799301
