Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
43	5.2987227	0.24479167	0.014616268	0.20626448	3.7130752	3.7132432	0.19443826	-3.0525205	-22.001995	0.81468505	0.8048047	0.0128463665	19.130936	8.07795	30.470053	2.4514449	2.8725777	1.8920991	8.126439	0.9215774	20.828125	48000	172000.0	9022.791281461716
44	5.396171	0.16129032	0.013225649	0.19813709	3.79859	3.7987914	0.19389425	-3.117398	-22.48731	0.800166	0.79142517	0.012537489	20.198248	6.759098	30.646204	2.443624	2.6612046	1.7147045	7.7630854	0.92186296	21.370968	49000	176000.0	9225.596776485443
45	5.4936934	0.16756757	0.011967989	0.19310169	3.873358	3.8738935	0.19469729	-3.1710773	-22.984274	0.7796639	0.76842654	0.01224109	20.348495	7.3690996	32.89856	1.2527273	2.6502163	1.5812517	8.1655035	0.66778713	21.654055	50000	180000.0	9426.64890909195
46	5.5912695	0.17989418	0.010830053	0.19377291	3.9607875	3.9602602	0.194648	-3.2360985	-23.506353	0.7657627	0.7545646	0.012176819	19.575792	6.6231375	31.748669	3.8073623	2.798099	1.7758349	8.061168	0.92387486	21.375662	51000	184000.0	9626.79850935936
47	5.6889267	0.21164021	0.0097996425	0.19010328	4.032401	4.03177	0.19771835	-3.2711096	-24.008461	0.7592231	0.7465022	0.012226109	19.296518	7.3814063	30.971046	-0.630435	2.9326727	1.8678194	8.160702	0.9234397	21.21693	52000	188000.0	9826.269026994705
48	5.7865667	0.14130434	0.008867355	0.19250992	4.1056447	4.1055617	0.19568789	-3.3389244	-24.538664	0.742767	0.7312903	0.01138104	20.669209	6.719294	30.859781	2.339145	2.4005718	1.5339117	7.4706006	0.9174146	21.701086	53000	192000.0	10023.823282003403
49	5.883533	0.19354838	0.008023686	0.19017155	4.192388	4.192071	0.19575652	-3.4030497	-25.046501	0.7303018	0.7190254	0.011795495	19.654308	7.304405	30.914692	0.8979825	2.712769	1.7053281	7.8212337	0.9044568	21.435484	54000	196000.0	10226.265298128128
50	5.980876	0.10869565	0.007260335	0.18819354	4.267033	4.2670712	0.1943085	-3.464343	-25.5556	0.70989	0.69970405	0.011096825	20.397116	6.2348003	32.146214	2.3916576	2.3998811	1.3938462	7.5184994	0.9382856	21.679348	55000	200000.0	10426.002930879593
51	6.0778923	0.13186814	0.0065694805	0.18928108	4.3398056	4.339545	0.19656138	-3.5077415	-26.07979	0.70455456	0.69489026	0.011281865	20.2583	6.1950116	31.363567	3.303459	2.5916355	1.6999102	7.919601	0.92307067	22.082418	56000	204000.0	10624.99849486351
52	6.175567	0.07777778	0.0059444522	0.19152394	4.409249	4.409779	0.19593292	-3.5595875	-26.61035	0.67947847	0.67056215	0.010839047	21.543695	5.659485	31.406828	2.7437363	2.2493043	1.2613685	7.1710963	0.9377771	22.161112	57000	208000.0	10825.291751623154
53	6.272216	0.13186814	0.0053787665	0.18710522	4.4855	4.4851327	0.19442746	-3.6202266	-27.106415	0.6731651	0.6646564	0.010946017	20.707706	6.585334	30.486156	2.0615766	2.5544715	1.5337853	8.294171	0.9995461	22.016483	58000	212000.0	11025.884728431702
54	6.3692694	0.12637363	0.004866883	0.18720129	4.5622635	4.562485	0.19425748	-3.6846938	-27.625484	0.6654407	0.65757436	0.011034121	20.601332	6.418833	30.639143	2.7458384	2.4194326	1.4475157	7.783381	0.7340318	21.93956	59000	216000.0	11225.14794254303
55	6.4662223	0.09210526	0.0044037597	0.19161493	4.632201	4.6318035	0.19488718	-3.7325933	-28.168226	0.6467085	0.63768053	0.0103998715	20.712568	5.469002	30.705376	3.0311062	2.4528337	1.5255997	8.47988	0.9295724	22.401316	60000	220000.0	11454.51138997078
56	6.56302	0.14371258	0.0039848564	0.18208155	4.7103295	4.7092896	0.19311987	-3.7996151	-28.634472	0.63683337	0.6297976	0.0104598785	19.54976	7.341657	29.92951	-16.960325	2.4726353	1.5296512	7.911408	0.9378322	27.508982	61000	224000.0	11679.443312168121
57	6.6599293	0.110497236	0.003605772	0.18338506	4.7771173	4.7764416	0.19290848	-3.848923	-29.159676	0.6294956	0.62203884	0.010312233	20.285267	6.241223	32.326183	2.0443385	2.405965	1.3331198	7.485107	0.8966123	22.110497	62000	228000.0	11878.933626174927
58	6.756662	0.13043478	0.0032629673	0.17721665	4.84103	4.8407645	0.19272844	-3.888569	-29.642391	0.6198621	0.61246574	0.01025214	19.823467	6.747881	30.84612	1.7294786	2.430707	1.3863821	7.4744177	0.91027683	21.641304	63000	232000.0	12077.764605522156
59	6.8531914	0.061452515	0.0029523554	0.18593551	4.91633	4.9168873	0.19041038	-3.956555	-30.210941	0.60782397	0.60051405	0.010050784	21.800406	5.339502	33.18331	1.4135305	2.1941235	1.288977	7.4820027	0.67892516	22.430168	64000	236000.0	12277.706774711609
