Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
58	0.011299435	0.0032669657	0.109956995	14.191774	14.192674	-14.158578	-29.250988	0.26832172	0.26406094	21.355152	3.5032108	29.039923	1.5163387	1.8202425	0.6551588	4.9649663	0.6823533	22.58757	25000	232000.0	10008.018630981445
59	0.0056179776	0.0029561508	0.10904513	14.256916	14.256666	-14.224796	-29.756468	0.25484508	0.25118995	20.855007	3.6156445	29.089539	-5.7569895	1.8194313	0.59138256	4.081919	0.6677487	22.47191	25000	236000.0	10180.75821185112
60	0.0055555557	0.0026750069	0.10395051	14.321741	14.322752	-14.286338	-30.23691	0.2496602	0.2460227	20.975443	3.8812666	28.121117	-3.1240335	1.8391113	0.5841915	4.7192917	0.9099878	22.244444	25000	240000.0	10354.116676330566
61	0.0056179776	0.0024206375	0.09960581	14.380526	14.380466	-14.346852	-30.720741	0.24802026	0.2449386	20.871386	3.5854182	28.035007	-3.884644	1.8119273	0.5384419	3.6051228	0.91840583	22.382023	25000	244000.0	10527.930082798004
62	0.011173184	0.0021904188	0.096388765	14.435047	14.435476	-14.4001255	-31.210665	0.24275586	0.2397118	20.865103	3.6708105	29.191458	0.21422054	1.8039364	0.5714116	4.0338216	0.89691615	22.340782	25000	248000.0	10701.571797132492
63	0.0056179776	0.0019820884	0.0948763	14.486785	14.486167	-14.448393	-31.710632	0.23746869	0.23534323	20.845787	3.3522246	27.766918	0.56476766	1.8811892	0.61225533	4.846414	0.9224619	22.47191	25000	252000.0	10875.728457689285
64	0.022346368	0.0017934964	0.094988376	14.536456	14.53569	-14.499411	-32.220764	0.22521128	0.22303312	21.050058	4.0898027	30.011755	-2.2113833	1.7483304	0.6305604	4.9125175	0.67523813	22.307262	25000	256000.0	11049.417993307114
65	0.022099448	0.001622777	0.09746755	14.556855	14.556613	-14.519121	-32.746284	0.22520727	0.22360577	21.008074	4.0350347	27.97833	2.0329278	1.811276	0.6541587	4.768449	0.85787004	22.303867	25000	260000.0	11223.1962621212
66	0.0056497175	0.0014683745	0.092193164	14.577551	14.5777	-14.539123	-33.221558	0.21967396	0.21875198	21.265089	3.5350587	30.106745	-0.93483627	1.8342526	0.562643	3.5967002	0.6788364	22.525423	25000	264000.0	11396.967389822006
67	0.02247191	0.0013286471	0.094196744	14.627824	14.627086	-14.589029	-33.74398	0.21190219	0.2105119	20.951698	4.363804	29.9509	-0.06401935	1.847001	0.62418073	4.756802	0.91131985	22.398876	25000	268000.0	11570.808050632477
68	0.03314917	0.0012022038	0.09040733	14.647271	14.648052	-14.608341	-34.22785	0.21834123	0.21731949	20.356632	4.5407305	28.939625	-0.11886129	1.7864257	0.7369902	5.600965	0.90020365	22.149172	25000	272000.0	11744.35064649582
69	0.027777778	0.001087876	0.08775036	14.662964	14.663292	-14.623298	-34.71846	0.21717736	0.21708764	20.980143	5.1244397	28.80804	-4.9518924	1.8420783	0.6280583	4.5875816	0.91219693	22.205555	25000	276000.0	11917.831850767136
70	0.027777778	0.0009843747	0.09001477	14.691776	14.692002	-14.650176	-35.242893	0.22357921	0.22357012	21.134434	4.13129	29.09917	-1.1343067	1.8774217	0.6136949	4.1698422	0.89656	22.25	25000	280000.0	12091.708984136581
71	0.02793296	0.0008906477	0.09163657	14.703443	14.703972	-14.662143	-35.76353	0.22243093	0.22297755	20.866165	4.3600183	29.136421	-2.2897818	1.8864818	0.673569	4.8347054	0.6738058	22.351955	25000	284000.0	12265.941643714905
72	0.022222223	0.00080584467	0.094974495	14.707121	14.707058	-14.664723	-36.296806	0.22235899	0.22340402	20.627821	4.8771563	29.06226	-4.0812774	1.8410203	0.64080805	4.53945	0.6675602	22.244444	25000	288000.0	12440.33456993103
73	0.02247191	0.0007291456	0.089778855	14.712248	14.712125	-14.668403	-36.76878	0.22540772	0.22640531	21.234701	4.2493467	29.354383	1.1063687	1.8766198	0.64113647	4.668476	0.9092875	22.382023	25000	292000.0	12614.937977790833
74	0.016759777	0.00065978646	0.08688643	14.722118	14.723633	-14.67883	-37.256306	0.22660805	0.22698611	20.924026	3.8349748	28.27217	0.0031212985	1.8376243	0.68832684	6.2545877	0.6466457	22.26257	25000	296000.0	12788.072991609573
75	0.044198897	0.00059703004	0.08572904	14.727088	14.727856	-14.684155	-37.756218	0.24103189	0.24171469	20.296787	5.298902	31.234394	-0.8389802	1.8727295	0.6625974	4.5303583	0.9151755	22.198895	25000	300000.0	12962.221253156662
76	0.044198897	0.00054019527	0.09173217	14.726975	14.7274065	-14.683174	-38.310173	0.23281184	0.23358154	20.718052	4.8179455	28.064224	-4.909336	1.9782104	0.708367	5.0412517	0.9005054	22.121548	25000	304000.0	13136.344855070114
77	0.033333335	0.00048878056	0.085990705	14.72478	14.725823	-14.6797285	-38.775642	0.23473325	0.23476271	20.825212	5.013759	28.483154	-3.8960567	1.8739749	0.64412767	4.227465	0.89401037	22.25	25000	308000.0	13309.365209579468
