Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
48	3.1504848	0.0	48.0	0.0	0.2513089	16.899385	9.650347	30.642748	-4.0909834	2.338571	0.96306676	4.8173366	0.9087457	20.732985	12.703103	5.4788213	21.982683	-8.122937	196000	7.450581e-09	23.94883	0.26084697	-0.005992301	-7.008116	-0.063081935	0.45738116	0.004659979	0.038000003	79.0	9438.139988660812
49	3.192176	0.0	40.0	0.0	0.20942408	17.614613	9.041164	28.386549	-4.275614	2.1744416	0.93739134	4.67051	0.91862756	20.780106	13.360676	4.758173	21.975258	-7.469213	200000	-3.7252903e-09	22.987883	0.23742908	-0.007698089	-6.98542	-0.056701735	0.4579943	0.0054762363	0.06075	79.0	9623.939127445221
50	3.2338257	0.0	47.0	0.0	0.24226804	16.969215	9.370322	31.086828	-3.833311	2.1815562	1.0116007	6.0076375	0.92259	20.340206	13.279226	5.2139716	24.67699	-6.136633	204000	-1.8626451e-09	20.374727	0.2380534	-0.0077275713	-4.5814466	-0.054799855	0.43524793	0.0050255265	0.053	79.0	9810.082249879837
51	3.275353	0.0	40.0	0.0	0.20942408	18.011642	8.775577	30.991442	-1.683911	2.1251795	0.9552317	4.834981	0.91115826	20.753927	12.819699	5.186916	21.825916	-6.8827696	208000	1.21071935e-08	19.943855	0.19752085	-0.006499754	-5.45208	-0.039069504	0.4288405	0.0035569195	0.03175	79.0	10002.387926578522
52	3.3170092	0.0	45.0	0.0	0.23316061	17.127335	9.414673	28.649662	-4.763318	2.2609794	1.0107783	5.1732016	0.77741563	20.595856	13.76567	5.0436907	24.892717	-7.840451	212000	-7.450581e-09	22.88412	0.29918623	-0.007120898	-6.1545043	-0.067672744	0.41562602	0.0071170125	0.057499997	79.0	10194.885890722275
53	3.3586087	0.0	40.0	0.0	0.21164021	17.925308	8.820689	29.428501	-2.4012463	2.1534543	0.94482815	4.8491087	0.9147836	20.962963	13.221535	5.2091494	22.707825	-5.327764	216000	3.259629e-09	18.21869	0.20567691	-0.008439737	-3.7067096	-0.041598238	0.41590714	0.009258389	0.04775	79.0	10380.62236905098
54	3.4002566	0.0	41.0	0.0	0.21578947	17.699953	9.325692	30.265924	-3.1318884	2.2060611	0.93164337	4.553893	0.9102184	20.81579	13.760314	4.8758454	23.088337	-6.177652	220000	-7.450581e-09	21.767181	0.20692773	-0.0076685026	-6.301262	-0.055115193	0.41300273	0.01210277	0.10425	23.0	10568.065625429153
55	3.4420311	0.0	47.0	0.0	0.2460733	17.466145	9.341406	29.370274	-2.29801	2.249413	0.9692557	4.419061	0.9194177	20.602095	13.41382	5.128587	22.649343	-8.24385	224000	9.313226e-09	19.591705	0.2349193	-0.0056072962	-4.782816	-0.059069917	0.41540754	0.003391397	0.032250002	79.0	10752.05657362938
56	3.4837246	0.0	34.0	0.0	0.18378378	18.95094	8.61226	29.515135	-2.6471953	2.131003	0.92001665	5.2682476	0.9119938	21.264864	13.8159275	4.8433056	21.799852	-5.049385	228000	-1.8626451e-09	15.816019	0.20376348	-0.0066272416	-3.834827	-0.0427951	0.417186	0.004501487	0.04	79.0	10925.041118621826
57	3.5253532	0.0	32.0	0.0	0.17297298	18.791779	8.436434	29.24654	-3.1347754	2.1301942	0.9277496	5.383369	0.66778535	21.302702	13.808516	5.016658	23.221825	-6.3424196	232000	0.0	18.294521	0.22786841	-0.007707297	-7.047434	-0.07528878	0.4129328	0.00478151	0.05275	79.0	11094.117655992508
58	3.5670874	0.0	49.0	0.0	0.2525773	17.133183	9.584888	29.907639	-3.1324615	2.2194295	1.0056602	5.081853	0.65480894	20.304123	13.482829	5.22367	24.850819	-8.456512	236000	6.9849193e-09	22.77768	0.24250388	-0.007088002	-6.418952	-0.04776012	0.4003254	0.005032607	0.060500003	79.0	11264.437165498734
59	3.6087868	0.0	43.0	0.0	0.22395833	17.75605	9.092707	29.463678	-2.9854326	2.1399477	0.9282615	4.475838	0.89812326	20.708334	13.236224	5.239369	23.76898	-4.78102	240000	-1.3969839e-09	16.400358	0.18218045	-0.006971803	-5.362791	-0.048348706	0.3934998	0.0053757722	0.046	79.0	11432.978080749512
60	3.650522	0.0	41.0	0.0	0.21578947	17.793457	9.385083	30.518583	-5.9645624	2.173247	0.9405569	4.65639	0.9090575	20.978947	13.557076	5.32455	22.880013	-5.654133	244000	7.450581e-09	21.31667	0.19940573	-0.006809636	-5.4022536	-0.033226624	0.37481445	0.008728791	0.039750002	79.0	11602.897858381271
61	3.692404	0.0	43.0	0.0	0.2263158	17.88298	9.289977	30.195644	-3.19177	2.2336261	1.0057998	4.9691787	0.923285	20.83158	13.691763	5.173017	23.298672	-6.0783186	248000	5.5879354e-09	18.9632	0.23872699	-0.007302952	-5.9463444	-0.048876964	0.37032336	0.007076932	0.049500003	79.0	11772.109513759613
62	3.7343776	0.0	44.0	0.0	0.23280424	17.423042	9.543841	29.35991	-3.7064261	2.206309	0.9222802	4.6284714	0.67751163	20.830688	13.481606	5.3046875	24.016706	-7.0804605	252000	-7.450581e-09	20.779572	0.20750016	-0.0073993867	-8.686827	-0.058565013	0.3690421	0.004282116	0.03225	79.0	11942.265701532364
63	3.7765493	0.0	51.0	0.0	0.26288658	17.432459	9.866127	29.35632	-4.091725	2.267387	0.9797025	4.966139	0.91157573	20.304123	13.356244	5.590317	22.461988	-6.8101306	256000	-3.7252903e-09	24.275795	0.24624246	-0.0087453	-10.145515	-0.08208485	0.35969764	0.01034412	0.04175	79.0	12111.52629494667
64	3.818875	0.0	46.0	0.0	0.2408377	17.770763	9.82374	31.02854	-2.0115786	2.2496855	1.0009495	5.0943494	0.9278529	20.670156	13.89988	5.3006907	23.642899	-7.404171	260000	3.7252903e-09	24.499596	0.27409232	-0.0079622995	-8.271352	-0.07079393	0.3449144	0.008179173	0.08975	79.0	12280.155790567398
65	3.8612585	0.0	53.0	0.0	0.2717949	16.648548	10.000887	29.131577	-5.9050436	2.2001472	1.0045524	4.5569277	0.9085553	20.348719	13.178277	5.580534	24.160099	-4.8625383	264000	-1.8626451e-09	23.93579	0.23988801	-0.009452829	-8.378635	-0.080077514	0.3742764	0.00968058	0.036	79.0	12449.880029201508
66	3.903873	0.0	40.0	0.0	0.21276596	17.783787	9.010876	29.67703	-3.4973862	2.2965991	0.9711811	4.809484	0.66778845	21.111702	13.629693	5.065489	23.811626	-6.4112597	268000	-4.8894435e-09	18.19371	0.26072538	-0.0077768043	-6.095752	-0.08105154	0.36002666	0.0077549387	0.095	79.0	12620.34967160225
67	3.9463527	0.0	42.0	0.0	0.21875	17.635841	9.277981	29.537756	-3.0599144	2.1018083	0.9398753	4.848002	0.9086602	20.5625	13.367199	5.297381	22.42847	-5.772387	272000	-3.7252903e-09	16.172808	0.18244138	-0.008155544	-5.140066	-0.05459979	0.35094658	0.0053291274	0.09575	79.0	12790.356281757355
68	3.9888146	0.0	40.0	0.0	0.21276596	18.241098	9.188904	28.97921	-3.308089	2.154701	0.94730633	4.935139	0.90953034	21.127659	13.428496	5.4447436	23.57783	-6.8498616	276000	0.0	16.143482	0.1804907	-0.007282169	-6.2320175	-0.035837617	0.34764674	0.0063602356	0.04875	79.0	12959.466937303543
