Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	Entropy	KL	ClipFrac	Time
67	3.945254	0.0	11.0	0.0	0.065868266	16.215128	9.367841	32.03667	-14.7885	1.9690288	0.85628855	5.0523686	0.89648247	23.84431	12.78386	3.817312	22.797062	-5.2381253	272000	-7.022033e-10	15.663769	0.14383098	-0.011713659	0.12977162	0.00482672	0.0	36863.74017429352
68	3.9822474	0.0	12.0	0.0	0.07100592	16.112011	8.454101	27.001621	-8.2242155	1.9946917	0.8078012	4.8664355	0.90999216	23.538462	12.913356	4.119146	22.245361	-5.3991995	276000	3.1018395e-08	13.062815	0.12798586	-0.015569391	0.121790804	0.0056942585	0.0	37398.91635847092
69	4.0193496	0.0	17.0	0.0	0.10119048	15.344895	8.820628	30.179626	-13.825282	2.0254526	0.82541776	4.3752966	0.9092214	23.678572	12.878301	3.811867	21.661924	-5.2873836	280000	9.56154e-09	14.919135	0.16661133	-0.007684421	0.1269454	0.005165264	0.0	37944.94081234932
70	4.0564	0.0	11.0	0.0	0.064705886	16.493294	8.308376	28.44694	-9.863846	1.9339824	0.7268799	4.7212	0.6675387	23.388235	12.958338	3.6346068	20.753227	-4.6710815	284000	1.2377596e-08	12.522981	0.10609527	-0.008078772	0.1272795	0.0042292736	0.0	38488.896099328995
71	4.093536	0.0	8.0	0.0	0.048484847	16.809963	8.385133	28.566353	-9.99025	2.0022635	0.8249538	5.752231	0.6676022	24.230303	12.995339	3.5537229	20.53351	-3.4896264	288000	-1.38797684e-08	12.174742	0.10541223	-0.0069552204	0.10966936	0.0026441528	0.0	39026.85528707504
72	4.130769	0.0	15.0	0.0	0.0872093	16.526531	9.047988	28.92233	-10.394457	2.007132	0.800157	4.422279	0.66753155	23.238373	13.204586	4.0682645	22.60977	-5.2648873	292000	-1.0630718e-08	12.323819	0.1065786	-0.005044298	0.09681071	0.0065439735	0.0	39554.21074795723
73	4.1678586	0.0	13.0	0.0	0.078313254	15.294498	8.711326	29.230452	-12.33099	1.872638	0.7145463	4.1605268	0.6662968	23.975904	12.964173	3.784606	22.027308	-6.697878	296000	-2.5293346e-08	16.373003	0.13020514	-0.015466939	0.097482376	0.00758914	0.0	40096.715084314346
74	4.204922	0.0	6.0	0.0	0.035928145	18.731285	7.522866	30.557362	-11.368791	1.923368	0.67504567	4.184518	0.90879583	23.874252	13.410615	3.531402	22.826118	-2.1212814	300000	-1.0539274e-08	7.4124937	0.08608457	-0.015245804	0.095383555	0.009216101	0.0	40616.35531425476
75	4.2417827	0.0	4.0	0.0	0.024691358	16.780376	7.4568477	28.503084	-14.230478	1.8185515	0.5521635	3.7207985	0.89652926	24.635803	13.963224	3.8511982	23.64256	-7.365179	304000	8.661701e-09	10.764514	0.07402777	-0.006293782	0.08629857	0.0047044167	0.0	41150.211488485336
76	4.2786355	0.0	8.0	0.0	0.04819277	17.40663	8.119192	28.91485	-12.797162	1.9092942	0.6733969	4.785328	0.91151685	24.096386	13.326535	3.3984673	23.203764	-2.288405	308000	6.410765e-10	12.754468	0.088383704	-0.0063565657	0.08643266	0.007196767	0.0	41677.83596110344
