Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
53	0.011111111	0.0053859074	0.086167574	15.730454	15.7310705	-15.713657	-26.572086	0.78739053	0.77583706	21.464367	3.9487312	28.273071	1.7005701	1.8612895	0.6338254	3.9150703	0.8998681	22.427778	25000	212000.0	12094.219637870789
54	0.011363637	0.004873611	0.08308132	15.802127	15.801236	-15.780451	-27.063917	0.75637484	0.74762136	21.864481	3.690192	30.169996	3.2531335	1.8854123	0.6590113	4.5475936	0.9129155	22.642046	25000	216000.0	12316.675079584122
55	0.033333335	0.004410338	0.0764182	15.842775	15.843012	-15.819463	-27.535597	0.7426769	0.7345548	21.52336	4.766131	27.770609	-2.9785564	1.9746463	0.76316524	6.5988564	0.92484915	22.383333	25000	220000.0	12534.87749671936
56	0.011299435	0.0039909906	0.07109426	15.877104	15.877529	-15.851282	-28.013329	0.7506771	0.7417753	21.226778	3.9251776	28.63214	-0.71869594	1.9667455	0.6918636	4.3776116	0.9130678	22.497175	25000	224000.0	12753.005227088928
57	0.022346368	0.0036114855	0.07096128	15.900927	15.899384	-15.870216	-28.519398	0.73847437	0.7295211	21.22579	4.263994	28.808931	-3.7033658	1.9132543	0.6377175	4.544836	0.91136223	22.407822	25000	228000.0	12972.913817167282
58	0.02259887	0.003267751	0.071661554	15.923724	15.922246	-15.890325	-29.030529	0.7405278	0.7329967	21.535372	4.3746014	30.542906	-3.2248394	1.8670441	0.68241286	5.4081154	0.9100476	22.514124	25000	232000.0	13192.542449474335
59	0.016853932	0.0029567147	0.07195879	15.915793	15.915569	-15.879955	-29.539547	0.75332224	0.74649185	21.178965	3.6206446	29.044199	1.1578902	1.9016384	0.7169904	5.700444	0.6677487	22.550562	25000	236000.0	13411.482282876968
60	0.016853932	0.0026752339	0.07361479	15.965813	15.965977	-15.926816	-30.056778	0.7488821	0.74114627	21.55318	3.799084	29.15014	-0.95225316	1.8578882	0.6180673	4.679342	0.9084697	22.325842	25000	240000.0	13630.924316883087
61	0.0	0.0024204594	0.079293825	15.972461	15.97257	-15.931832	-30.598646	0.74212456	0.73650193	21.070639	3.5966723	30.26388	-1.1287981	1.8768206	0.6017854	3.543528	0.91515285	22.542374	25000	244000.0	13850.330001831055
62	0.033519555	0.0021901906	0.07178755	15.993291	15.992956	-15.947627	-31.060583	0.7481235	0.74106	21.01049	4.4750695	29.04139	2.4505093	2.065901	0.77331924	4.9653025	0.9225282	22.480448	25000	248000.0	14069.65760087967
63	0.0056179776	0.0019818067	0.07343101	16.005632	16.00588	-15.959894	-31.577919	0.7597679	0.7539985	21.010885	3.7496753	28.68345	-0.007148998	1.9089931	0.68709856	4.4037366	0.6619468	22.460674	25000	252000.0	14289.496159791946
64	0.011235955	0.0017931102	0.07597032	16.014381	16.0135	-15.965751	-32.10152	0.7388719	0.7340768	21.715843	4.281035	29.951736	-1.7298901	1.8908226	0.63134307	4.7972803	0.9184858	22.60674	25000	256000.0	14512.15427994728
65	0.0	0.0016224798	0.072168104	16.017647	16.016209	-15.968743	-32.584675	0.7583446	0.7516593	21.700058	3.4536366	30.632309	7.037944	1.8815482	0.6601611	4.377409	0.9149098	22.697144	25000	260000.0	14734.721773147583
66	0.011299435	0.0014681247	0.071268775	16.04467	16.04306	-15.99467	-33.085922	0.7609041	0.7549512	21.46219	3.8865442	29.191477	-1.8563428	1.9216962	0.6656824	5.1021185	0.9115936	22.638418	25000	264000.0	14954.652638435364
67	0.0056818184	0.0013284308	0.06832232	16.05826	16.058123	-16.008682	-33.57336	0.7284646	0.72191685	21.661894	3.823514	28.939625	1.0752505	1.8641784	0.5641262	3.6012692	0.91131985	22.630682	25000	268000.0	15176.273421764374
68	0.011173184	0.0012020364	0.06934074	16.04799	16.047134	-15.995643	-34.087017	0.72572935	0.72110313	21.616222	3.6315444	27.8447	2.333401	1.815444	0.6471269	4.929349	0.9003563	22.480448	25000	272000.0	15398.887724161148
69	0.0	0.0010876127	0.06854399	16.042889	16.042645	-15.989109	-34.588646	0.7514915	0.7483596	21.624512	3.3032506	29.233038	8.165574	1.9002395	0.5988722	3.6837168	0.6383207	22.585228	25000	276000.0	15621.376508235931
70	0.0056179776	0.0009841068	0.067251444	16.033035	16.03242	-15.979826	-35.08665	0.7410939	0.7360089	21.590286	3.6967845	30.57238	3.5283475	1.8214701	0.6599186	5.6159544	0.6675602	22.651686	25000	280000.0	15843.144016742706
71	0.0057803467	0.0008904063	0.0698558	16.043447	16.042414	-15.989559	-35.6119	0.73154294	0.72803015	21.956373	3.4653301	29.962442	1.1063687	1.907567	0.63885593	4.668476	0.9089179	23.080925	25000	284000.0	16065.812578201294
72	0.0	0.00080565474	0.07042572	16.048079	16.04691	-15.992961	-36.123173	0.71924525	0.7141904	21.584276	3.328251	28.997578	11.870859	1.8493683	0.594484	3.3324049	0.923113	22.536724	25000	288000.0	16288.318417072296
73	0.011299435	0.00072895654	0.06821867	16.050123	16.05067	-15.995139	-36.614384	0.7280716	0.72585845	21.660831	3.7318723	29.89494	2.1429348	1.8568609	0.6759123	5.8928123	0.91002774	22.745762	25000	292000.0	16508.779671430588
74	0.0	0.00065959536	0.06595893	16.06478	16.064417	-16.008362	-37.10461	0.71193993	0.70784044	21.719255	3.3410616	28.93893	6.5560117	1.8781351	0.5744207	3.2607446	0.6677853	22.577143	25000	296000.0	16730.004848241806
75	0.022222223	0.0005968163	0.067095935	16.073664	16.074396	-16.017992	-37.61974	0.6936014	0.6891646	21.687462	4.5143194	29.403427	-0.7058767	1.9549198	0.7066032	6.619345	0.91455203	22.55	25000	300000.0	16950.578949213028
76	0.017045455	0.00053999806	0.0667811	16.07153	16.070496	-16.014	-38.1243	0.72508264	0.7223571	21.537937	3.9974213	29.70103	-1.5299898	1.9241825	0.733462	4.9796596	0.68577486	22.47159	25000	304000.0	17172.06616640091
77	0.0	0.0004885945	0.066534854	16.09093	16.09138	-16.033619	-38.629242	0.7078552	0.7060632	22.106262	3.166487	29.158802	14.70475	1.890209	0.5600097	4.0727015	0.91271436	22.80226	25000	308000.0	17392.362662553787
78	0.0057142857	0.00044208908	0.06433841	16.101616	16.100744	-16.042465	-39.11899	0.7158821	0.7105941	21.749548	3.783732	29.328775	-3.3895469	1.8708813	0.6354475	4.5828314	0.6466457	22.777143	25000	312000.0	17617.727246284485
79	0.011299435	0.00040001757	0.063202456	16.089201	16.089716	-16.030441	-39.61656	0.7162207	0.71342975	21.571615	4.235779	28.223713	-6.142244	1.8978547	0.6563106	5.710606	0.90899444	22.62712	25000	316000.0	17839.892424345016
80	0.033707865	0.00036194676	0.06292961	16.100231	16.099491	-16.04109	-40.12082	0.6823474	0.6791095	21.251106	4.537401	28.304272	-3.1321692	1.9389894	0.74669564	5.41808	0.6673776	22.35955	25000	320000.0	18063.0499458313
81	0.011299435	0.0003274794	0.06533683	16.111094	16.111403	-16.052057	-40.646812	0.68848	0.68655306	22.516743	3.5420575	29.996502	-3.8960567	1.8402382	0.58639115	3.9703817	0.8451344	22.661016	25000	324000.0	18283.974051475525
82	0.0057142857	0.00029627627	0.064726576	16.105637	16.103767	-16.044155	-41.149086	0.6997902	0.6978075	22.001957	3.1351464	29.07303	6.478801	1.8482778	0.55578464	4.5347795	0.9313322	22.737143	25000	328000.0	18510.54825115204
83	0.016759777	0.00026804555	0.06241404	16.120424	16.11997	-16.060493	-41.637165	0.6909346	0.6896537	22.247383	4.12969	30.960629	-4.393059	1.8906494	0.6335116	4.837438	0.90835583	22.497208	25000	332000.0	18732.456243515015
