Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
74	0.011363637	15.222041	13.807179	0.39007843	21.145592	4.156963	30.316814	-0.021509735	1.9730586	0.632018	4.9380264	0.9040848	22.755682	296000.0	26178.91239285469
75	0.0056497175	15.220101	13.799129	0.40575567	21.430237	3.3736467	29.845251	2.5439262	1.8737952	0.68726206	6.07344	0.6841664	22.508474	300000.0	26536.325685977936
76	0.011049724	15.229237	13.812694	0.39783674	21.29122	3.913788	29.52162	-3.805018	1.9356906	0.65250254	5.678433	0.9201908	22.24862	304000.0	26886.98716211319
77	0.016759777	15.229203	13.809507	0.39271683	21.184425	4.187279	28.13674	-2.8667204	1.9832269	0.7355749	5.483727	0.9086793	22.268156	308000.0	27238.299034833908
78	0.011173184	15.225357	13.8027525	0.39496505	21.543787	3.6371717	28.627045	0.7753323	1.9161094	0.6701501	4.5913615	0.68340105	22.351955	312000.0	27593.0098361969
79	0.0	15.252457	13.825076	0.40075216	21.515972	3.194595	28.755302	7.0275106	1.9573745	0.66116744	3.7267478	0.9094448	22.533709	316000.0	27945.013493299484
80	0.0	15.253205	13.833648	0.40239367	21.536312	3.1441422	30.169203	10.934203	1.9188406	0.58288443	3.8264487	0.9249075	22.318436	320000.0	28299.445075511932
81	0.005586592	15.24784	13.827759	0.39802712	21.297514	3.6368225	28.77574	-2.7003334	1.938463	0.707658	4.321651	0.91111374	22.329609	324000.0	28654.44348216057
82	0.0	15.250607	13.821762	0.39299995	21.521833	3.4983237	29.385605	-0.97357196	1.8566886	0.6416873	3.9906373	0.90903234	22.288889	328000.0	29006.44870376587
83	0.005586592	15.255857	13.833982	0.39981538	21.777803	3.6933346	28.402504	1.5301204	1.8581384	0.58913696	3.9842458	0.91843146	22.324022	332000.0	29357.94457769394
84	0.0056497175	15.258956	13.830896	0.39925197	21.069706	3.252768	28.549934	3.5402706	1.9084876	0.67743754	4.530008	0.9069394	22.514124	336000.0	29711.394596099854
85	0.022346368	15.245971	13.821324	0.39054054	21.33591	4.24544	28.944092	-3.6293874	1.8914227	0.74111676	4.7310076	0.9194616	22.418995	340000.0	30062.396985530853
86	0.011049724	15.261675	13.830106	0.3986962	21.590183	3.7261128	30.915615	-3.1033437	1.8230779	0.58141226	3.64222	0.7188586	22.022099	344000.0	30412.71893453598
87	0.016483517	15.254712	13.821948	0.39633316	21.06834	4.165075	27.58112	-3.7096405	1.9012083	0.76034534	6.579671	0.9171631	22.0	348000.0	30763.41056394577
88	0.011111111	15.257117	13.827396	0.40040302	21.486032	3.7566688	29.419594	-0.13802138	1.8708254	0.6315177	4.239918	0.9231737	22.172222	352000.0	31112.19710111618
89	0.0056497175	15.239512	13.811018	0.40669295	21.34737	3.640167	30.400928	4.2898116	1.9356462	0.61912465	4.502314	0.90289456	22.672316	356000.0	31463.346984386444
90	0.0	15.238402	13.805027	0.40716705	21.539219	3.1527739	31.18743	11.442617	1.8598313	0.5855663	3.9591248	0.92175055	22.47191	360000.0	31818.913931131363
